time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1609043655.97202373,0.01105711,0.00279208,0.00000738,3042.00000000,0.01547052,0.000000,0.000000
1609043656.06320477,0.01101206,0.00109055,0.00000292,3055.00000000,0.00623727,0.000000,0.000000
1609043656.16187406,0.01101188,0.00196310,0.00000501,3067.00000000,0.01099169,0.000000,0.000000
1609043656.25738811,0.01094674,0.00071613,0.00000184,3073.00000000,0.00391231,0.000000,0.000000
1609043656.36804652,0.01102538,0.00384271,0.00000957,3066.00000000,0.01959732,0.000000,0.000000
1609043656.45721984,0.01097295,0.00097576,0.00000252,3084.00000000,0.00520532,0.000000,0.000000
1609043656.56109500,0.01100757,0.00284872,0.00000651,3094.00000000,0.01485015,0.000000,0.000000
1609043656.66391492,0.01097115,0.00124920,0.00000310,3107.00000000,0.00689256,0.000000,0.000000
1609043656.76672149,0.01097825,0.00224071,0.00000576,3108.00000000,0.01178027,0.000000,0.000000
1609043656.87059402,0.01095635,0.00152719,0.00000380,3101.00000000,0.00846014,0.000000,0.000000
1609043656.97290277,0.01095723,0.00214679,0.00000543,3088.00000000,0.01105784,0.000000,0.000000
1609043657.07571173,0.01097598,0.00260913,0.00000572,3072.00000000,0.01315114,0.000000,0.000000
1609043657.17898250,0.01096285,0.00176801,0.00000420,3059.00000000,0.00942692,0.000000,0.000000
1609043657.28360581,0.01101169,0.00294198,0.00000729,3074.00000000,0.01677440,0.000000,0.000000
1609043657.38776946,0.01099553,0.00176657,0.00000397,3073.00000000,0.00907277,0.000000,0.000000
1609043657.45683646,0.01095997,0.00118001,0.00000307,3086.00000000,0.00669313,0.000000,0.000000
1609043657.55713725,0.01092712,0.00122747,0.00000318,3088.00000000,0.00695236,0.000000,0.000000
1609043657.66040111,0.01101908,0.00382284,0.00001006,3095.00000000,0.02223729,0.000000,0.000000
1609043657.76990342,0.01096969,0.00085612,0.00000222,3106.00000000,0.00489529,0.000000,0.000000
1609043657.87128592,0.01104074,0.00375563,0.00000892,3111.00000000,0.01985045,0.000000,0.000000
1609043657.97511148,0.01102607,0.00178573,0.00000408,3116.00000000,0.00919289,0.000000,0.000000
1609043658.07771063,0.01103266,0.00233232,0.00000571,3098.00000000,0.01186212,0.000000,0.000000
1609043658.18178654,0.01100273,0.00131574,0.00000330,3119.00000000,0.00720268,0.000000,0.000000
1609043658.28347516,0.01104273,0.00275314,0.00000797,3111.00000000,0.01616226,0.000000,0.000000
1609043658.38653421,0.01100412,0.00118543,0.00000285,3133.00000000,0.00602388,0.000000,0.000000
1609043658.45680428,0.01101681,0.00254819,0.00000570,3128.00000000,0.01266572,0.000000,0.000000
1609043658.56125689,0.01099496,0.00156498,0.00000356,3081.00000000,0.00813306,0.000000,0.000000
1609043658.66809344,0.01106045,0.00354081,0.00000890,3079.00000000,0.01970489,0.000000,0.000000
1609043658.77093601,0.01101955,0.00109488,0.00000265,3099.00000000,0.00558060,0.000000,0.000000
1609043658.87410331,0.01106917,0.00225089,0.00000806,3105.00000000,0.01771709,0.000000,0.000000
1609043658.97699714,0.01102816,0.00096500,0.00000252,3124.00000000,0.00549234,0.000000,0.000000
1609043659.08144498,0.01104626,0.00242541,0.00000620,3118.00000000,0.01350839,0.000000,0.000000
1609043659.18343759,0.01102526,0.00148658,0.00000357,3128.00000000,0.00814765,0.000000,0.000000
1609043659.28626919,0.01111205,0.00398920,0.00001014,3139.00000000,0.02308859,0.000000,0.000000
1609043659.35672569,0.01106229,0.00077183,0.00000201,3131.00000000,0.00414600,0.000000,0.000000
1609043659.45854330,0.01103053,0.00110550,0.00000297,3124.00000000,0.00658460,0.000000,0.000000
1609043659.56306124,0.01099370,0.00098369,0.00000259,3138.00000000,0.00580003,0.000000,0.000000
1609043659.66460252,0.01098242,0.00183261,0.00000418,3146.00000000,0.00938136,0.000000,0.000000
1609043659.76788902,0.01097609,0.00197040,0.00000448,3152.00000000,0.01007089,0.000000,0.000000
1609043659.87072849,0.01096903,0.00185104,0.00000444,3151.00000000,0.00995165,0.000000,0.000000
1609043659.98003244,0.01095951,0.00165107,0.00000410,3166.00000000,0.00957888,0.000000,0.000000
1609043660.08299971,0.01105140,0.00384684,0.00001014,3184.00000000,0.02446836,0.000000,0.000000
1609043660.18639278,0.01108348,0.00264977,0.00000673,3195.00000000,0.01579936,0.000000,0.000000
1609043660.25744581,0.01104655,0.00097907,0.00000254,3214.00000000,0.00557975,0.000000,0.000000
1609043660.35841775,0.01102503,0.00130933,0.00000353,3202.00000000,0.00781941,0.000000,0.000000
1609043660.46125674,0.01105921,0.00309803,0.00000739,3196.00000000,0.01618525,0.000000,0.000000
1609043660.56426644,0.01102535,0.00119657,0.00000282,3211.00000000,0.00591390,0.000000,0.000000
1609043660.66753221,0.01103758,0.00228623,0.00000582,3206.00000000,0.01289608,0.000000,0.000000
1609043660.77142429,0.01102636,0.00165893,0.00000426,3211.00000000,0.00930938,0.000000,0.000000
1609043660.87368488,0.01100993,0.00149645,0.00000388,3213.00000000,0.00848031,0.000000,0.000000
1609043660.97725058,0.01100043,0.00192398,0.00000451,3229.00000000,0.00952780,0.000000,0.000000
1609043661.08022094,0.01098265,0.00133157,0.00000328,3217.00000000,0.00820842,0.000000,0.000000
1609043661.18339539,0.01099074,0.00234419,0.00000541,3219.00000000,0.01226105,0.000000,0.000000
1609043661.28616118,0.01096760,0.00140149,0.00000322,3164.00000000,0.00731075,0.000000,0.000000
1609043661.35639691,0.01103472,0.00390933,0.00001004,3169.00000000,0.02170703,0.000000,0.000000
1609043661.45809555,0.01099686,0.00086586,0.00000225,3151.00000000,0.00494016,0.000000,0.000000
1609043661.56108379,0.01097274,0.00133343,0.00000321,3163.00000000,0.00708944,0.000000,0.000000
1609043661.66452551,0.01096533,0.00172523,0.00000447,3158.00000000,0.00976457,0.000000,0.000000
1609043661.76824093,0.01094983,0.00148971,0.00000386,3166.00000000,0.00842270,0.000000,0.000000
1609043661.87046933,0.01093498,0.00152744,0.00000383,3159.00000000,0.00849955,0.000000,0.000000
1609043661.97375298,0.01100325,0.00416227,0.00001015,3165.00000000,0.02226854,0.000000,0.000000
1609043662.07667041,0.01097534,0.00103883,0.00000275,3172.00000000,0.00634259,0.000000,0.000000
